Document,Page,Category,Confidence,Description,Quote,Entities,Has Relationship
104-10332-10023,1,CIA_INTERNAL_OPERATIONS,7,Declaration by CIA Executive Director David W. Carey regarding JFK assassination records search,"I am responsible, on behalf of the Director of Central Intelligence (DCI) and the Deputy Director of Central Intelligence (DDCI), for the overall daily management of the Central Intelligence Agency",CIA,No
104-10332-10023,1,RECORDS_DISCLOSURE,8,Official commitment to disclose JFK assassination records,The purpose of this declaration is to provide an assurance that the Central Intelligence Agency (1) has made a diligent records search to locate and disclose to the JFK Assassination Records Review Board (the Board) all records in its possession relating to Lee Harvey Oswald,Lee Harvey Oswald|CIA,No
104-10332-10023,1,OSWALD_ASSOCIATIONS,6,Explicit mention of Oswald records search,(2) is aware of no assassination of President Kennedy records in its possession other than those being disclosed,,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,8,CIA confirms diligent record searches related to JFK Assassination Records Review Board,The Central Intelligence Agency: (a) has made diligent records searches to locate and disclose to the JFK Assassination Records Review Board (the Board) all records in its possession relating to Lee Harvey Oswald and the assassination of President Kennedy,Lee Harvey Oswald|CIA,No
104-10332-10023,2,OSWALD_ASSOCIATIONS,6,CIA states no additional Oswald-related records being withheld,(b) is aware of no other assassination-related records in its possession being withheld from the Board,CIA,No
104-10332-10023,1,CIA_DOCUMENT_SCOPE,9,Comprehensive CIA document collection related to JFK assassination,"We estimate that the equivalent of roughly 320,000 pages comprise the ""CIA collection"" of documents associated with prior assassination reviews, including duplicates.",CIA,No
104-10332-10023,1,DOCUMENT_SOURCES,8,Multiple sources of CIA assassination-related documents,"CIA has reviewed over 100,000 pages of documents from the National Archives, the Ford, Johnson, and Kennedy Presidential Libraries and miscellaneous papers",CIA,No
104-10332-10023,2,INVESTIGATION_CONTEXT,9,Comprehensive overview of JFK assassination investigations from 1963-1979,"Assassinations (HSCA). The HSCA brought together in one place in 1978 the principal documents retrieved over the course of years from earlier investigations, including the Warren Commission, the Rockefeller Commission, and the Church Committee.",Warren Commission,No
104-10332-10023,2,OSWALD_ASSOCIATIONS,7,Reference to Oswald's Mexico City visit,"materials from CIA's Mexico City Station, which were considered relevant because of a visit to Mexico City by Lee Harvey Oswald shortly before the assassination",Lee Harvey Oswald|CIA|Mexico City,No
104-10332-10023,2,CIA_FBI_ACTIVITIES,8,Investigations focused on potential assassination capabilities and methods,"Notheless, as a part of these investigations they yielded information which, to many, appeared to relate in some way to the assassination, such as an operational capability or willingness to consider assassination as an intelligence method.",,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,8,Specific Oswald-related document collection (201 file) maintained by CIA Directorate of Operations,Directorate of Operations maintained on Lee Harvey Oswald (the 201 file) as well as similar files on additional individuals.,Lee Harvey Oswald|CIA,No
104-10332-10023,3,CIA_FBI_ACTIVITIES,7,Extensive CIA and FBI documentation related to Oswald and assassination investigation,"Boxes 35 through 63 consist of reports, memoranda, transcripts, cables, letters, newspaper clippings, photographs, and charts.",CIA|FBI,No
104-10332-10023,3,OSWALD_ASSOCIATIONS,6,Mexico City Station files related to Oswald,Other major additions to the Oswald 201 file include relevant Mexico City Station files,Mexico City,No
